V2_Gene	baseMean	DESeq_log2FC	lfcSE	pvalue	adj_pvalue	IHW_pvalue	LBS6R1.1	LBS6R1.2	LBS6R1.3	LBS6R1.4	LBS4.4	LBS4.5	LBS4.6	LBS4.7	LBS6R1_Mean	LBS4_Mean	log2FC
H2scaf9-aug22712	265.8462721	3.501795911	0.180809436	1.46e-83	3.71e-81	1.39e-83	41.32866729	29.78437	30.04380364	52.57584503	445.7864844	433.6905234	507.4659819	586.0945011	38.43317149	493.2593727	3.681922528
H2scaf30-aug10777	353.8159554	2.800321703	0.145705092	2.56e-82	6.35e-80	2.43e-82	66.52907417	90.34592234	97.14163177	81.66035505	617.6434235	624.5501958	717.0714962	535.5855441	83.91924583	623.7126649	2.893807936
H2scaf86-aug19091	697.5236719	2.370448852	0.126139581	8.74e-79	1.96e-76	7.79e-79	172.3707831	268.05933	222.3241469	211.4220151	1090.510395	1209.67398	1262.229698	1143.599027	218.5440688	1176.503275	2.428509207
H2scaf48-aug11557	529.8302569	2.892994642	0.153979903	9.44e-79	2.22e-76	9e-79	108.8657577	158.8499733	120.1752146	81.66035505	969.6897594	995.5168831	940.4668469	863.417265	117.3878252	942.2726886	3.004861841
H2scaf27-aug6440	410.0031942	2.348463654	0.125452259	3.4e-78	8.88e-76	3.65e-78	132.0501321	128.072791	135.1971164	125.2871201	786.375691	733.8688815	616.8653512	622.3084703	130.1517899	689.8545985	2.406097163
H2scaf25-aug5079	817.075382	3.725911929	0.203551192	7.61e-75	1.53e-72	6.79e-75	75.60122065	158.8499733	88.12849068	64.88083004	1759.190122	1445.336393	1617.088156	1327.52787	96.86512868	1537.285635	3.988264049
H2scaf81-aug17880	188.2063063	3.61709966	0.200369898	7.59e-73	1.56e-70	7.42e-73	19.15230923	27.79874533	26.03796315	23.49133501	453.0773849	327.0600021	310.7309817	318.3017291	24.12008818	352.2925244	3.868466775
H2scaf9-aug22499	286.6713417	3.712342705	0.207001417	6.41e-72	1.25e-69	6.09e-72	23.18437433	42.69093034	27.03942328	43.62676502	709.3004577	532.2565514	483.5635987	431.7086325	34.13537324	539.2073101	3.981500624
H2scaf4-aug16280	157.5437276	3.616393882	0.205055389	1.3e-69	2.43e-67	1.27e-69	19.15230923	28.79155767	13.01898158	19.01679501	339.5476494	284.0493717	306.1343695	250.6387867	19.99491087	295.0925443	3.883462715
H2scaf82-aug17999	199.5687601	3.141794548	0.178472659	2.3e-69	2.97e-67	1.56e-69	28.22445571	45.66936734	43.06278522	29.08451002	422.8722259	322.5797281	368.6482948	336.4087136	36.51027957	362.6272406	3.312112684
H2scaf50-aug12297	636.0799178	2.684276174	0.166368997	1.46e-58	2.65e-56	1.57e-58	139.106246	141.9721637	179.2613617	177.8629651	1292.572493	1046.592007	796.1332252	1315.138881	159.5506841	1112.609151	2.801860178
H2scaf5-aug4795	144.3359565	2.736077533	0.177073115	7.35e-54	1.08e-51	6.94e-54	36.28858591	35.741244	40.05840485	25.72860501	285.3866746	255.3756181	218.7987386	257.309781	34.45420994	254.2177031	2.883312318
H2scaf117-aug20795	73.41201144	4.667785642	0.309580933	2.27e-51	2.48e-49	1.69e-51	3.024048826	3.971249334	2.002920243	0	130.1946508	125.447672	167.3166824	155.3388678	2.249554601	144.5744683	6.006029602
H2scaf3-aug4247	101.26881	3.68809916	0.245681673	6.16e-51	8.39e-49	5.81e-51	10.08016275	12.90656033	11.01606133	10.06771501	212.4776702	232.0781933	146.1722665	175.3518507	11.01762486	191.5199952	4.11960987
H2scaf41-aug12284	533.0418852	2.631342126	0.175648006	9.81e-51	1.32e-48	9.23e-51	124.9940181	194.5912173	142.2073372	85.01626005	918.6534563	927.4167183	968.9658423	902.4902318	136.7022082	929.3815622	2.765234476
H2scaf48-aug11634	1965.889249	2.463072013	0.164529353	1.15e-50	1.53e-48	1.07e-50	452.5993076	526.1905367	717.0454469	572.7411203	3960.0005	3583.323146	2394.834933	3520.379003	567.1441029	3364.634396	2.568662495
H2scaf2-aug5755	821.0518172	2.797415701	0.189469271	2.48e-49	3.08e-47	2.24e-49	200.5952388	269.0521423	170.2482206	106.2703251	1456.096975	1475.802256	1407.482642	1482.866738	186.5414817	1455.562153	2.964008057
H2scaf174-aug23264	89.91220873	3.359967588	0.231961862	1.51e-47	2.18e-45	1.68e-47	10.08016275	10.92093567	13.01898158	17.89816001	201.0205409	156.8095901	160.8814254	148.6678735	12.97956	166.8448575	3.684193837
H2scaf72-aug15748	1257.894189	2.670400072	0.185000797	3.14e-47	3.54e-45	2.75e-47	266.1162967	482.506794	269.3927726	230.4388101	2082.072856	2096.768233	2510.669559	2125.188191	312.1136684	2203.67471	2.819767836
H2scaf103-aug21189	201.2312723	3.667120449	0.258165852	8.59e-46	9.98e-44	8.11e-46	24.19239061	15.88499733	35.05110425	11.18635001	496.8227876	456.9879482	264.7648601	304.9597404	21.57871055	380.8838341	4.141670493
H2scaf12-aug1237	146.1636192	3.056698853	0.219332844	3.81e-44	4.21e-42	3.61e-44	18.14429296	39.71249334	22.03212267	26.84724002	308.3009332	284.9454265	195.8156778	273.5107672	26.68403724	265.6432012	3.315440924
H2scaf85-aug19513	326.0390268	2.411877998	0.174404375	1.7e-43	1.85e-41	1.6e-43	104.8336926	97.29560867	81.11826983	101.7957851	581.1889213	387.0956737	575.4958418	679.4884216	96.26083905	555.8172146	2.529589614
H2scaf23-aug6218	79.55085159	3.456495308	0.252582802	1.25e-42	8.69e-41	7.74e-43	5.040081377	13.89937267	6.008760728	15.66089001	173.9400535	137.0963844	135.1403974	149.6208726	10.1522762	148.949427	3.874947445
H2scaf47-aug13919	100.3092333	3.140164195	0.230719491	3.48e-42	4.27e-40	3.88e-42	8.064130202	23.827496	23.03358279	12.30498501	197.8958693	193.5478369	188.4610984	155.3388678	16.8075485	183.8109181	3.451041245
